snapshot_id,card_id,games_played,games_won,win_rate,pick_rate
1,26000000,389,211,54.24,23.58
1,26000001,121,64,52.89,7.33
1,26000002,36,18,50.00,2.18
1,26000003,97,64,65.98,5.88
1,26000004,168,83,49.40,10.18
1,26000005,90,52,57.78,5.45
1,26000006,95,47,49.47,5.76
1,26000007,377,186,49.34,22.85
1,26000008,70,33,47.14,4.24
1,26000009,35,17,48.57,2.12
1,26000010,350,188,53.71,21.21
1,26000011,370,185,50.00,22.42
1,26000012,315,157,49.84,19.09
1,26000013,70,41,58.57,4.24
1,26000014,172,97,56.40,10.42
1,26000015,152,80,52.63,9.21
1,26000016,123,54,43.90,7.45
1,26000017,225,105,46.67,13.64
1,26000018,526,286,54.37,31.88
1,26000019,41,16,39.02,2.48
1,26000020,52,24,46.15,3.15
1,26000021,386,193,50.00,23.39
1,26000022,32,13,40.62,1.94
1,26000023,51,18,35.29,3.09
1,26000024,34,13,38.24,2.06
1,26000025,77,38,49.35,4.67
1,26000026,91,41,45.05,5.52
1,26000027,118,54,45.76,7.15
1,26000028,11,4,36.36,0.67
1,26000029,5,2,40.00,0.30
1,26000030,240,121,50.42,14.55
1,26000031,45,27,60.00,2.73
1,26000032,90,43,47.78,5.45
1,26000033,85,44,51.76,5.15
1,26000034,48,22,45.83,2.91
1,26000035,79,36,45.57,4.79
1,26000036,50,19,38.00,3.03
1,26000037,113,52,46.02,6.85
1,26000038,72,32,44.44,4.36
1,26000039,33,12,36.36,2.00
1,26000040,279,135,48.39,16.91
1,26000041,216,91,42.13,13.09
1,26000042,120,47,39.17,7.27
1,26000043,56,25,44.64,3.39
1,26000044,117,63,53.85,7.09
1,26000045,138,84,60.87,8.36
1,26000046,46,19,41.30,2.79
1,26000047,78,37,47.44,4.73
1,26000048,12,6,50.00,0.73
1,26000049,195,99,50.77,11.82
1,26000050,123,66,53.66,7.45
1,26000051,26,12,46.15,1.58
1,26000052,40,23,57.50,2.42
1,26000053,15,8,53.33,0.91
1,26000054,11,5,45.45,0.67
1,26000055,489,233,47.65,29.64
1,26000056,93,50,53.76,5.64
1,26000057,50,25,50.00,3.03
1,26000058,56,27,48.21,3.39
1,26000059,126,59,46.83,7.64
1,26000060,25,10,40.00,1.52
1,26000061,13,7,53.85,0.79
1,26000062,44,16,36.36,2.67
1,26000063,77,36,46.75,4.67
1,26000064,436,217,49.77,26.42
1,26000065,65,28,43.08,3.94
1,26000067,29,17,58.62,1.76
1,26000068,28,14,50.00,1.70
1,26000069,42,24,57.14,2.55
1,26000072,12,4,33.33,0.73
1,26000074,90,40,44.44,5.45
1,26000077,33,14,42.42,2.00
1,26000080,10,4,40.00,0.61
1,26000083,33,15,45.45,2.00
1,26000084,85,51,60.00,5.15
1,26000085,46,18,39.13,2.79
1,26000087,25,12,48.00,1.52
1,26000093,6,4,66.67,0.36
1,26000095,6,4,66.67,0.36
1,26000096,5,2,40.00,0.30
1,26000097,27,14,51.85,1.64
1,26000099,10,2,20.00,0.61
1,26000101,3,1,33.33,0.18
1,26000102,26,13,50.00,1.58
1,26000103,39,21,53.85,2.36
1,27000000,232,109,46.98,14.06
1,27000001,21,9,42.86,1.27
1,27000002,42,22,52.38,2.55
1,27000003,136,59,43.38,8.24
1,27000004,36,19,52.78,2.18
1,27000006,284,155,54.58,17.21
1,27000007,16,5,31.25,0.97
1,27000008,27,16,59.26,1.64
1,27000009,53,25,47.17,3.21
1,27000010,44,26,59.09,2.67
1,27000012,68,34,50.00,4.12
1,27000013,12,6,50.00,0.73
1,28000000,389,213,54.76,23.58
1,28000001,470,250,53.19,28.48
1,28000002,68,31,45.59,4.12
1,28000003,57,24,42.11,3.45
1,28000004,394,179,45.43,23.88
1,28000005,66,29,43.94,4.00
1,28000006,36,21,58.33,2.18
1,28000007,69,36,52.17,4.18
1,28000008,314,146,46.50,19.03
1,28000009,74,34,45.95,4.48
1,28000010,66,36,54.55,4.00
1,28000011,508,260,51.18,30.79
1,28000012,113,63,55.75,6.85
1,28000013,13,4,30.77,0.79
1,28000014,77,47,61.04,4.67
1,28000015,227,119,52.42,13.76
1,28000016,8,3,37.50,0.48
1,28000017,100,45,45.00,6.06
1,28000018,59,32,54.24,3.58
1,28000023,2,1,50.00,0.12
1,28000024,26,15,57.69,1.58
1,28000025,2,0,0.00,0.12
1,28000026,56,33,58.93,3.39
